Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763871419,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763871420,50,,Aggregated,0.000000,0.000000,790,810,860,870,880,880,890,890,890,890,890,50,0,790.0,760.7288203388453,635.8328275382519,887.3918689787388,10497.0
1763871421,50,,Aggregated,0.000000,0.000000,650,670,790,810,870,880,890,890,890,890,890,98,0,640.0,566.8616009762093,291.99163243174553,887.3918689787388,9830.5
1763871422,50,,Aggregated,0.000000,0.000000,470,660,790,800,870,880,880,890,890,890,890,112,0,460.0,506.82292176809693,63.39985877275467,887.3918689787388,9722.651785714286
1763871423,50,,Aggregated,35.000000,0.000000,340,650,670,690,820,870,880,890,890,890,890,144,0,340.0,412.4340353688846,60.74398383498192,887.3918689787388,9521.868055555555
1763871424,50,,Aggregated,32.666667,0.000000,330,470,660,670,810,870,880,890,890,890,890,162,0,320.0,375.7176919391862,60.74398383498192,887.3918689787388,9428.864197530864
1763871425,50,,Aggregated,28.250000,0.000000,300,370,650,670,810,870,880,890,890,890,890,185,0,300.0,339.88308491739065,60.74398383498192,887.3918689787388,9470.578378378379
1763871426,50,,Aggregated,29.400000,0.000000,150,340,540,660,800,870,880,880,890,890,890,214,0,150.0,304.76045749524485,60.616396367549896,887.3918689787388,9581.415887850468
1763871427,50,,Aggregated,27.166667,0.000000,140,330,460,650,800,870,880,880,890,890,890,232,0,140.0,288.0017630242068,59.911321848630905,887.3918689787388,9549.887931034482
1763871428,50,,Aggregated,26.714286,0.000000,100,310,370,570,790,860,880,880,890,890,890,255,1,100.0,268.30319811900455,3.1649433076381683,887.3918689787388,9457.054901960784
1763871429,50,,Aggregated,27.000000,0.000000,100,300,350,470,790,820,880,880,890,890,890,277,1,100.0,253.99850291411798,3.1649433076381683,887.3918689787388,9497.238267148014
1763871430,50,,Aggregated,25.888889,0.000000,97,160,330,420,680,820,880,880,890,890,890,300,2,97,241.0107240329186,2.8473474085330963,887.3918689787388,9549.463333333333
1763871431,50,,Aggregated,26.200000,0.100000,84,150,330,360,670,810,880,880,890,890,890,323,3,84,229.8940797062481,2.803236246109009,887.3918689787388,9541.876160990712
1763871432,50,,Aggregated,28.000000,0.200000,82,150,310,350,670,810,880,880,890,890,890,346,3,79,220.56248019627063,2.803236246109009,887.3918689787388,9525.765895953757
1763871433,50,,Aggregated,23.100000,0.200000,79,140,300,330,670,810,870,880,890,890,890,375,3,79,210.55499324202538,2.803236246109009,887.3918689787388,9614.056
1763871434,50,,Aggregated,22.900000,0.300000,76,140,180,330,660,810,870,880,890,890,890,395,4,76,203.4455259200893,2.803236246109009,887.3918689787388,9633.93164556962
1763871435,50,,Aggregated,23.800000,0.300000,75,140,150,310,660,800,870,880,890,890,890,423,4,75,195.56103441556013,2.803236246109009,887.3918689787388,9693.427895981087
1763871436,50,,Aggregated,23.000000,0.300000,76,140,150,300,650,800,870,880,890,890,890,444,5,75,190.88784356911978,2.803236246109009,887.3918689787388,9725.254504504504
1763871437,50,,Aggregated,23.600000,0.400000,75,130,150,300,650,800,870,880,890,890,890,466,6,75,185.57708640083223,2.632811665534973,887.3918689787388,9743.615879828327
1763871438,50,,Aggregated,23.800000,0.400000,75,130,150,290,650,790,870,880,890,890,890,488,6,75,181.6749759094759,2.632811665534973,887.3918689787388,9800.743852459016
1763871439,50,,Aggregated,23.100000,0.600000,75,120,150,160,550,790,870,880,890,890,890,512,6,74,177.16513148479862,2.632811665534973,887.3918689787388,9821.654296875
1763871440,50,,Aggregated,23.600000,0.600000,74,110,150,150,540,790,870,880,890,890,890,537,7,74,172.2286276005944,2.632811665534973,887.3918689787388,9813.57355679702
1763871441,50,,Aggregated,22.800000,0.500000,73,110,140,150,470,790,870,880,890,890,890,560,7,73,168.42985363411051,2.632811665534973,887.3918689787388,9869.828571428572
